SCHOOL	PHONE	EN	RG	CL	ADDRESS	CITY	ZIP	DISTRICT
Buckland (Nunachiam)	907-494-2127	61	R1	1A	PO Box 91	Buckland	99727	Northwest Arctic
Cantwell	907-768-2372	2	R2	1A	PO Box 29	Cantwell	99729	Denali Borough
Chaputnguak	907-867-8700	42	R1	1A	PO Box 101	Chefornak	99561	Lower Kuskokwim
Chevak	907-858-7712	97	R1	2A	985 KSD Way	Chevak	99563	Kashunamiut
Chief Ivan Blunka	907-693-3144	36	R1	1A	PO Box 29	New Stuyahok	99636	Southwest Region
Chief Paul Memorial	907-896-5011	32	R1	1A	PO Box 19	Kipnuk	99614	Lower Kuskokwim
Chugach School District ESSS	907-522-7400		R2	1A	9312 Vanguard Dr.	Anchorage	99507	Chugach
Chugach School District ESSS (Chenega Bay)	907-522-7400	3	R2	1A	9312 Vanguard Dr.	Anchorage	99507	Chugach
Chugach School District ESSS (Tatitlek Community)	907-522-7400	3	R2	1A	9312 Vanguard Dr.	Anchorage	99507	Chugach
Chugach School District ESSS (Whittier Community)	907-522-7400	12	R2	1A	9312 Vanguard Dr.	Anchorage	99507	Chugach
Chugiak	907-742-3050	859	R4	4A	16525 Birchwood Loop	Eagle River	99567	Anchorage School
Colony	907-861-5500	1046	R3	4A	9550 E. Bogard Rd.	Palmer	99645	Mat-Su Borough
Cook Inlet Academy	907-262-5101	36	R2	1A	45872 Kalifornsky Beach Road	Soldotna	99669	Private
Cordova	907-424-3266	84	R2	2A	100 Fisherman Ave.	Cordova	99574	Cordova City
Craig	907-826-2274	75	R5	2A	PO Box 800	Craig	99921	Craig City
Crow Village Sam	907-467-4229	7	R1	1A	PO Box CHU	Chuathbaluk	99557	Kuspuk
Davis-Ramoth	907-484-2142	71	R1	2A	PO Box 119	Selawik	99770	Northwest Arctic
Deering	907-363-2121	11	R1	1A	PO Box 36009	Deering	99736	Northwest Arctic
Delta Junction	907-895-4460	151	R6	3A	PO Box 647	Delta Junction	99737	Delta / Greely
Dillingham	907-842-5221	124	R1	2A	PO Box 170	Gillingham	99576	Dillingham City
Dimond	907-742-7000	1334	R4	4A	2909 W. 88th Avenue	Anchorage	99502	Anchorage School
Diomede	907-686-3021	5	R1	1A	PO Box 7099	Diomede	99762	Bering Strait
Dot Lake	907-882-2663	4	R2	1A	PO Box 2280	Dot Lake	99737	Alaska Gateway
Eagle Community	907-547-2210	5	R2	1A	PO Box 168	Eagle	99738	Alaska Gateway
Eagle River	907-742-2700	729	R4	4A	8701 Yosemite Drive	Eagle River	99577	Anchorage School
Eagle River Christian	907-694-4602	4	R2	1A	10336 E Eagle River Loop Rd	Eagle River	99577	Private
Eek	907-536-5229	26	R1	1A	PO Box 50	Eek	99578	Lower Kuskokwim
Effie Kokrine Charter	907-474-0958	101	R2	2A	601 Loftus Road	Fairbanks	99709	Fairbanks North Star
Ella B. Vernetti	907-927-2212	5	R1	1A	PO Box 70, Maine St.	Koyukuk	99745	Yukon-Koyukuk
Emmonak	907-949-1248	58	R1	1A	100 School Road	Emmonak	99581	Lower Yukon
False Pass	907-548-2224	3	R1	1A	PO Box 30	False Pass	99583	Aleutians East
Fort Yukon	907-662-2352	30	R2	1A	PO Box 129	Ft. Yukon	99740	Yukon Flats
Galena	907-656-1205	200	R6	3A	PO Box 299	Galena	99741	Galena City
Gambell (Apangalook)	907-985-5515	43	R1	1A	PO Box 169,	Gambell	99742	Bering Strait
Glennallen	907-822-5286	54	R2	2A	PO Box 108	Glennallen	99588	Copper River
Grace Christian	907-868-1203	207	R3	3A/4A	12407 Pintail Street	Anchorage	99516	Private
Gustavus	907-697-2248	19	R5	1A	PO Box 120	Gustavus	99826	Chatham
Haines	907-766-6700	78	R5	2A	PO Box 1289	Haines	99827	Haines Borough
Harold Kaveolook	907-640-6626	11	R1	1A	2001 Barter Avenue	Kaktovik	99747	North Slope
Hogarth Kingeekuk (Savoonga)	907-984-6811	85	R1	1A	PO Box 200	Savoonga	99769	Bering Strait
Holy Rosary Academy	907-276-5822	75	R2	1A	1010 Fireweed Lane	Anchorage	99503	Private
Homer	907-235-8186	374	R3	3A	600 E. Fairview	Homer	99603	Kenai Peninsula
Hoonah	907-945-3611	30	R5	1A	PO Box 157	Hoonah	99829	Hoonah City
Hooper Bay	907-758-1200	121	R1	2A	PO 249, 1 School Ct.	Hooper Bay	99604	Lower Yukon
Houston	907-892-9400	337	R3	3A	PO Box 940315	Houston	99694	Mat-Su Borough
Hutchison	907-479-2261	367	R6	3A	3750 Geist Road	Fairbanks	99709	Fairbanks North Star
Hydaburg	907-285-3491	16	R5	1A	PO Box 109	Hydaburg	99922	Hydaburg City
Ignatius Beans (Mountain Village)	907-591-2204	47	R1	1A	PO Box 32105	Mountain Village	99632	Lower Yukon
James C. Isabell	907-642-3021	21	R1	1A	100 Airport Road	Teller	99778	Bering Strait
Jimmy Huntington	907-829-2205	27	R2	1A	PO Box 110	Huslia	99746	Yukon-Koyukuk
Joann  Alexie Memorial	907-553-5112	25	R1	1A	PO Box 6608	Atmautluak	99559	Lower Kuskokwim
Johnny Oldman	907-889-2204	`3	R2	1A	PO Box 30	Hughes	99745	Yukon-Koyukuk
Juneau-Douglas	907-523-1500	1007	R5	4A	10014 Crazy Horse Drive	Juneau	99801	Juneau Borough
Kachemak Selo	907-235-8549	4	R2	1A	PO Box 15336	Fritz Creek	99603	Kenai Peninsula
Kake	907-785-3741	28	R5	1A	PO Box 450	Kake	99830	Kake City
Kali	907-833-2311	22	R1	1A	PO Box 59077	Point Lay	99759	North Slope
Kalskag (George Morgan Sr.)	907-471-2288	28	R1	1A	General Delivery	Kalskag	99607	Kuspuk
Kaltag	907-534-2204	7	R2	1A	PO Box 30	Kaltag	99748	Yukon-Koyukuk
Kenai Central	907-283-7524	542	R3	3A	9583 Kenai Spur Highway	Kenai	99611	Kenai Peninsula
"Kenai Pen. ESSS
Kachemak Selo"	907-235-8549	4	R2	2A	PO Box 15336	Fritz Creek	99603	Kenai Peninsula
Kenai Pen. ESSS  (Razdolna)	907-235-8549	23	R2	2A	PO Box 15336	Fritz Creek	99603	Kenai Peninsula
Kenai Pen. ESSS (Voznesnka)	907-235-8549	25	R3	2A	PO Box 15336	Fritz Creek	99603	Kenai Peninsula
Kenai Peninsula  (Hope)	907-714-8888	6	R2	2A	148 North Binkley St.	Soldotna	99669	Kenai Peninsula
Kenai Peninsula (Tebughna)	907-714-8888	4	R2	2A	148 North Binkley St.	Soldotna	99669	Kenai Peninsula
Kenny Lake	907-822-3870	14	R2	1A	HC 60 Box 227F	Copper Center	99573	Copper River
Ket'acik/Aapalluk Memorial	907-757-6014	73	R1	1A	PO Box 150	Kwethluk	99621	Lower Kuskokwim
Ketchikan	907-225-9815	503	R5	4A	2610 Fourth Avenue	Ketchikan	99901	Ketchikan Gateway
Kiana	907-475-2115	24	R1	1A	190 Casanoff Drive	Kiana	99749	Northwest Arctic
King Cove	907-497-2354	23	R1	1A	PO Box 69	King Cove	99612	Aleutians East
Kisimġiugtuq	907-645-2125	47	R1	1A	111 McQueen	Kivalina	99750	Northwest Arctic
Klawock	907-755-2220	26	R5	1A	PO Box 9	Klawock	99925	Klawock City
Klukwan	907-767-5551	0	R5	1A	PO Box 1409	Haines	99827	Chatham
Knik Charter School	907-352-5700	38	R2	1A	758 N. Shoreline Drive	Wasilla	99654	Mat-Su Borough
Kobuk	907-948-2231	7	R1	1A	PO Box 40	Kobuk	99751	Northwest Arctic
Kodiak	907-481-2500	517	R3	4A	722 Mill Bay Road	Kodiak	99615	Kodiak Island
Kodiak  ESS Akhoik	907-680-2357	5	R2	1A	PO Box 5049	Akhiok	99615	Kodiak Island
Kodiak ESS Chiniak	907-486-8323	5	R2	1A	Box 5529	Chiniak	99615	Kodiak Island
Kodiak ESS Ouzinkie	907-680-2204	1	R2	1A	PO Box 49	Ouzinkie	99644	Kodiak Island
Kodiak ESSS Old Harbor	907-286-2213	8	R2	1A	PO Box 49	Old Harbor	99643	Kodiak Island
Kodiak ESSS Port Lions	907-454-2237	5	R2	1A	PO Box 109	Port Lions	99550	Kodiak Island
Koliganek	907-596-3444	13	R1	1A	PO Box 5025	Koliganek	99576	Southwest Region
Kotlik	907-899-4415	44	R1	1A	PO Box 20129	Kotlik	99620	Lower Yukon
Kotzebue	907-442-1875	146	R1	3A	PO Box 264	Kotzebue	99752	Northwest Arctic
Koyuk-Malimiut	907-963-2243	21	R1	1A	PO Box 53009	Koyuk	99753	Bering Strait
Kuinerrarmiut Elitnaurviat	907-556-3021	49	R1	1A	PO Box 49	Quinhagak	99655	Lower Kuskokwim
Kuspuk ESSS	907-432-2205		R1	1A	PO Box 49	Crooked Creek	99575	Kuspuk
Kuspuk ESSS Sleetmute (Jack Egnaty)	907-432-2205	4	R1	1A	PO Box 49	Crooked Creek	99575	Kuspuk
Kuspuk ESSS     (Johnnie John)	907-432-2205	5	R1	1A	PO Box 49	Crooked Creek	99575	Kuspuk
Kuspuk ESSS Crow Village Sam	907-449-4229	7	R1	1A	PO Box Chu	Chuathbaluk,	99557	Kuspuk
Kwigillingok	907-588-8629	16	R1	1A	101 Village Road	Kwigillingok	99622	Lower Kuskokwim
Lake & Peninsula ESSS	907-246-4280		R1	1A	PO Box 498	King Salmon	99613	Lake & Peninsula
Lake & Peninsula ESSS (Chignik Bay)	907-246-4280		R1	1A	PO Box 498	Chignik Bay	99564	Lake & Peninsula
Lake & Peninsula ESSS (Chignik Lagoon)	907-246-4280	3	R1	1A	PO Box 498	King Salmon	99613	Lake & Peninsula
Lake & Peninsula ESSS (Chignik Lake)	907-246-4280	6	R1	1A	PO Box 498	King Salmon	99613	Lake & Peninsula
Lake & Peninsula ESSS (Igiugig)	907-246-4280	4	R1	1A	PO Box 498	King Salmon	99613	Lake & Peninsula
Lake & Peninsula ESSS (Kokhanok)	907-246-4280	11	R1	1A	PO Box 498	King Salmon	99613	Lake & Peninsula
Lake & Peninsula ESSS (Levelock)	907-246-4280	2	R1	1A	PO Box 498	King Salmon	99613	Lake & Peninsula
Lake & Peninsula ESSS (Meshik)	907-246-4280	4	R1	1A	PO Box 498	King Salmon	99613	Lake & Peninsula
Lake & Peninsula ESSS (Nondolton)	907-246-4280	2	R1	1A	PO Box 498	King Salmon	99613	Lake & Peninsula
Lake & Peninsula ESSS (Perryville)	907-246-4280	6	R1	1A	PO Box 498	King Salmon	99613	Lake & Peninsula
Lathrop	907-456-7794	736	R6	4A	901 Airport Way	Fairbanks	99701	Fairbanks North Star
Lewis Angapak Memorial	907-256-2415	40	R1	1A	PO Box 8087	Tuntutuliak	99680	Lower Kuskokwim
Lumen Christi	907-245-9231	73	R2	2A	8110 D Jewel Lake Road	Anchorage	99502	Private
Manokotak	907-289-1013	28	R1	1A	PO Box 130	Manokotak	99628	Southwest Region
Marshall	907-679-6112	34	R1	1A	PO Box 89	Marshall	99585	Lower Yukon
Martin L. Olson	907-779-3021	11	R1	1A	PO Box 62040	Golovin	99762	Bering Strait
Maudrey J. Sommer	907-366-7203	6	R2	1A	PO Box 89	Tanana	99777	Yukon-Koyukuk
Meade River	907-633-6315	21	R1	1A	4001 Kippi	Atqasuk	99791	North Slope
Mentasta Lake	907-291-9231	9	R2	1A	PO Box 6309	Mentasta Lake	99780	Alaska Gateway
Merreline A. Kangas	907-468-4465	4	R2	1A	PO Box 68110	Ruby	99768	Yukon-Koyukuk
Mertarvik	907-237-2504	25	R1	1A	PO Box WWT	Newton	99559	Bering Strait
Metlakatla	907-886-6000	100	R5	2A	PO Box 7	Metlakatla	99926	Annette Island
Minto	907-798-7212	19	R2	1A	PO Box 81	Minto	99758	Yukon-Koyukuk
Monroe Catholic	907-452-2044	95	R6	3A/4A	615 Monroe Street	Fairbanks	99701	Private
Mt. Edgecumbe	907-966-3200	388	R5	3A	1330 Seward Avenue	Sitka	99835	Mt. Edgecumbe
Mountain City Christian Academy	907-337-9575	132	R3	4/A	6575 E. Northern Lights Blvd.	Anchorage	99504	Private
Mountain Village	907-591-2204	33	R1	1A	PO Box 32105,	Mountain Village	99632	Lower Yukon
Nanwalek	907-714-8888	13	R2	1A	148 North Binkley St.	Soldotna	99669	Kenai Peninsula
Napaaqtugmiut	907-485-2153	49	R1	1A	PO Box 49	Noatak	99761	Northwest Arctic
Negtemiut Elitnaurviat	907-647-6313	16	R1	1A	113 Village Rd.	Nightmute	99690	Lower Kuskokwim
Nelson Island	907-427-7815	44	R1	1A	101 Village Road	Toksook Bay	99637	Lower Kuskokwim
Nenana	907-832-5464	128	R2	2A	PO Box 10	Zenana	99760	Nenana City
Newhalen	907-571-1211	15	R1	1A	PO Box 89	Newhalen	99606	Lake & Peninsula
Nikiski	907-776-3456	162	R3	3A	Pouch 7112	Nikiski	99635	Kenai Peninsula
Ninilchik	907-567-3301	30	R2	2A	PO Box 39010	Ninilchik	99639	Kenai Peninsula
Nome-Beltz	907-443-6180	171	R1	3A	PO Box 131	Nome	99762	Nome City
North Pole	907-488-3761	629	R6	4A	601 NPHS Blvd.	North Pole	99705	Fairbanks North Star
Nuiqsut Trapper	907-480-6712	41	R1	1A	PO Box 167	Nuiqsut	99789	North Slope
Nunam Iqua School	907-498-4112	9	R1	1A	PO Box 32	Nunam Iqua	99666	Lower Yukon
Nunamiut	907-661-3226	25	R1	1A	PO Box 21029	Anaktuvuk Pass	99721	North Slope
Nuniwarmiut	907-827-8415	17	R1	1A	PO Box 49	Mekoryuk	99630	Lower Kuskokwim
Palmer	907-746-8400	616	R3	4A	1170 W. Bogard Rd.	Palmer	99645	Mat-Su Borough
Paul T. Albert Memorial	907-652-626	21	R1	1A	PO  Box 49	Tununak	99681	Lower Kuskokwim
Pelican	907-735-2236	2	R5	1A	PO Box 90	Pelican	99832	Pelican City
Petersburg	907-772-3861	149	R5	2A	PO Box 289	Petersburg	99833	Petersburg City
Pilot Station	907-549-3212	32	R1	1A	PO Box 5090	Pilot Station	99650	Lower Yukon
Port Graham	907-714-8888	11	R2	1A	148 North Binkley St.	Soldotna	99669	Kenai Peninsula
Qugcuun (Oscarville)	907-737-7214	2	R1	1A	PO Box 6199	Napaskiak	99559	Lower Kuskokwim
Rampart	907-358-3320	2	R1	1A	13 Wiehl Way	Rampart	99767	Yukon-Koyukuk
Redington	907-864-5400	231	R3	3A	10015 Redington Dr.	Wasilla	99623	Mat-Su Borough
Rocky Mountain	907-967-8213	20	R1	1A	PO Box 153	Goodnews Bay	99589	Lower Kuskokwim
Russian Mission	907-584-5626	30	R1	1A	PO Box 90	Russian Mission	99657	Lower Yukon
Sand Point	907-383-2393	26	R1	1A	PO Box 269	Sand Point	99661	Aleutian East
Scammon Bay	907-558-2000	57	R1	2A	General Delivery	Scammon Bay	99662	Lower Yukon
Service	907-742-8100	1437	R4	4A	5577 Abbott Road	Anchorage	99507	Anchorage School
Seward	907-224-3351	161	R3	2A	PO Box 1049	Seward	99664	Kenai Peninsula
Shaktoolik	907-955-3021	29	R1	1A	PO Box 40	Shaktoolik	99771	Bering Strait
Shishmaref	907-649-3021	60	R1	1A	PO Box 155	Shishmaref	99772	Bering Strait
Shungnak	907-437-2151	15	R1	1A	PO Box 79	Shungnak	99773	Northwest Arctic
Sitka	907-747-3263	323	R5	3A	1000 Lake Street	Sitka	99835	Sitka Borough
Skagway	907-983-2960	52	R5	1A	PO Box 497	Skagway	99840	Skagway City
Soldotna	907-260-7000	684	R3	4A	425 W. Marydale Avenue	Soldotna	99669	Kenai Peninsula
South Anchorage	907-742-6200	1239	R4	4A	13400 Elmore Road	Anchorage	99516	Anchorage School
"Southeast Island ESSS
(Wales Pass)"	907-828-8254	1	R5	1A	PO Box 19569	Thorne Bay	99919	Southeast Island
Southeast Island ESSS  Hollis	907-828-8254	7	R5	1A	PO Box 19569	Thorne Bay	99919	Southeast Island
"Southeast Island ESSS
Howard Valentine"	907-828-8254	5	R5	1A	PO Box 19569	Thorne Bay	99919	Southeast Island
Southeast Island ESSS (Naukati)	907-828-8254	10	R5	1A	PO Box 19569	Thorne Bay	99919	Southeast Island
Southeast Island ESSS (Port Alexander)	907-828-8254	11	R5	1A	PO Box 19569	Thorne Bay	99919	Southeast Island
St. Mary's (Andreafski)	907-438-2411	50	R1	1A	PO Box 9	St. Mary's	99658	Saint Mary's
St. Paul	907-546-3322	11	R1	1A	PO Box 905	St. Paul	99660	Pribilof School
Susan B. English	907-234-7616	8	R2	1A	PO Box 171	Seldovia	99663	Kenai Peninsula
Susitna Valley	907-733-9300	130	R2	2A	HC 89, Box 8580	Talkeetna	99676	Mat-Su Borough
"Student Wrestler
Development Program"	803-873-8101	57	R6	4A	#2 3002 Industrial Ave	Fairbanks	99701	Private
Tanalian	907-781-2210	12	R1	1A	1400 School Road	Port Alsworth	99653	Lake & Peninsula
Tetlin	907-324-7438	10	R2	1A	General Delivery	Tok	99780	Alaska Gateway
Thorne Bay	907-828-3921	17	R5	1A	PO Box 19005	Thorne Bay	99919	Southeast Island
Tikigaq	907-368-2662	67	R1	2A	PO Box 148	Point Hope	99766	North Slope Borough
Togiak	907-493-5829	41	R1	1A	PO Box 50	Togiak	99678	Southwest Region
Tok	907-883-5161	50	R2	2A	PO Box 249	Tok	99780	Alaska Gateway
Tri-Valley	907-683-2267	41	R2	1A	PO Box 400	Healy	99743	Denali Borough
Tukurngailnguq (Stebbins)	907-934-3041	59	R1	1A	1 School Way	Stebbins	99671	Bering Strait
Tuluksak	907-695-5621	35	R1	1A	PO Box 115	Tuluksak	99679	Yupiit
Twin Hills	907-525-4215	1	R1	1A	PO Box TWA	Twin Hills	99576	Southwest Region
Twindly Bridge Charter	907-376-6680	121	R2	2A	141 E Seldon Rd.	Wasilla	99645	Mat-Su Borough
Unalakleet (Frank A. Degnan)	907-624-3444	39	R1	2A	PO Box 130	Unalakleet	99684	Bering Strait
Unalaska	907-581-1222	115	R1	2A	PO Box 570	Unalaska	99685	Unalaska City
Valdez	907-835-4767	157	R6	3A	PO Box 398	Valdez	99686	Valdez City
Wales (Kingikmuit)	907-664-3021	7	R1	1A	PO Box 490	Wales	99783	Bering Strait
Walter Northway	907-778-2287	19	R2	1A	PO Box 519	Northway	99765	Alaska Gateway
Wasilla	907-352-8200	816	R3	4A	701 E. Bogard Road	Wasilla	99654	Mat-Su Borough
West Anchorage	907-742-2500	1749	R4	4A	1700 Hillcrest Drive	Anchorage	99517	Anchorage Schools
West Valley	907-479-4221	758	R6	4A	3800 Geist Road	Fairbanks	99709	Fairbanks North Star
White Mountain	907-638-3021	19	R1	1A	PO Box  84069	White Mountain	99784	Bering Strait
Whitestone	907-895-4938	10	R2	1A	932 Westside Loop	Delta Junction	99737	Delta-Greely
Whittier	907-615-4311	18	R2	1A	100 Portage Street	Whittier	99693	Church
William Miller Memorial	907-589-2420	18	R1	1A	General Delivery	Napakiak	99634	Lower Kuskokwim
Wrangell	907-874-3395	77	R5	2A	PO Box 651	Wrangell	99929	Wrangell City
Yakutat	907-784-3317	12	R5	1A	PO Box 429	Yakutat	99689	Yakutat City
Z. John Williams Memorial	907-737-7212	38	R1	1A	PO Box 6089	Napaskiak	99559	Lower Kuskokwim
